time,u,v,r,x,y,ψ,x1,y1,x2,y2,δ,n_p
0.0,1.441442,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0
0.25,1.4178362893962897,-0.023023810180287964,0.057697839572369417,0.3603605,-4.691971520608808e-26,1.0140915950786708e-27,1.3603605,-4.590562361037464e-26,-0.6396395,1.224646798511851e-16,0.6459960625578554,19.284004485314213
0.5,1.3963123766173335,-0.050860422171298325,0.09951519933162005,0.7148195723490725,-0.005755952545071991,0.014424459893092354,1.7147155416312505,0.008668007148912272,-0.2850763969331056,-0.02017991223905627,0.6284310478536544,19.109092278762525
0.75,1.3743910090098488,-0.08080242921962696,0.13140181193115685,1.0640447538285496,-0.013434646966204822,0.039303259725997367,2.0632724801375897,0.025858494614306612,0.06481702751950946,-0.052727788546716226,0.6105985470534221,18.946736080368556
1.0,1.3506839175947094,-0.1109400729330762,0.15632776585473782,1.4081708998995182,-0.020118618747547085,0.07215371270878658,2.405568949911547,0.05197250298184851,0.4107728498874894,-0.09220974047694276,0.5917081116352607,18.801484059432187
1.25,1.3244831893200373,-0.13983759010828214,0.17578307401218288,1.7469627248730326,-0.023438392170143416,0.11123565417247103,2.740782416042291,0.0875680105471763,0.7531430337037741,-0.13444479488746303,0.5720192299968624,18.669933894525993
1.5,1.2955829216706725,-0.16640162431985425,0.1905316342631573,2.079917810375906,-0.02142520124746497,0.15518142267551674,3.0679013168398415,0.13313414319740186,1.0919343039119704,-0.17598454569233155,0.5520192215249827,18.548872552209673
1.75,1.264182956283621,-0.18984938964700482,0.20104926431546963,2.4063511813350105,-0.012464604554824892,0.20281433124130607,3.3858547573233224,0.1889621678119805,1.4268476053466983,-0.2138913769216301,0.5320192121169665,18.441360258042476
2.0,1.2307947586219503,-0.2096953979166342,0.20772945737954424,2.7254793003789324,0.004705929571899199,0.2530766473201735,3.693625962820194,0.2550897149970856,1.7573326379376706,-0.24567785585328716,0.5120192024667464,18.345916662073716
2.25,1.1961264783117422,-0.22574635813550684,0.21101010942942874,3.036502841685594,0.03099471735263941,0.30500901166505956,3.990347088073076,0.331296488298962,2.0826585952981125,-0.2693070535936832,0.49201919273958955,18.261730913324186
2.5,1.1609641472843555,-0.23806762888812605,0.21139706501623273,3.338680439291132,0.06696272606822024,0.35776153902241675,4.275363469683467,0.417141110002797,2.401997408898797,-0.2832156578663566,0.4720191829939922,18.186506523396986
2.75,1.126069444221375,-0.24692360943012728,0.2094348497889092,3.6313858275927178,0.1128503862774132,0.4106108052764749,4.548263006662549,0.5120198221075484,2.7145086485228864,-0.2863190495527219,0.4520191732649278,18.118070123646074
3.0,1.0921067844774897,-0.25270447437239274,0.20565660330316532,3.9141437609236656,0.16862385685125425,0.4629695177237022,4.80887399790617,0.6152308463053284,3.0194135239411612,-0.27798313260281987,0.43201916360349435,18.054513700180195
3.25,1.0596049878122298,-0.25585669084099505,0.20054125777206172,4.186643897575359,0.234033904085282,0.5143836685494936,5.057240019275506,0.7260322708312121,3.316047775875212,-0.2579644626606481,0.412019154080491,17.994508899954823
3.5,1.0289486963243524,-0.2568287050035473,0.19448890037455335,4.448736164309921,0.3086779242458456,0.564518982992509,5.293582211127584,0.8436874168500107,3.603890117492257,-0.22633156835831958,0.3920191448582585,17.9372536883742
3.75,1.0003901310726888,-0.2560356028886945,0.18781444786570664,4.7004134227144085,0.39205707519701116,0.6131412080861474,5.518257903813939,0.9674963897515862,3.8825689416148776,-0.1833822393575637,0.3720191363990834,17.882456053115057
4.0,0.9738932420728779,-0.2540995817461435,0.18140270074821094,4.941787547582427,0.4836237018280411,0.660094820052574,5.731721639756393,1.0968154581500678,4.151853455408461,-0.12956805449398573,0.358213081791219,17.831935821485466
4.25,0.9489009066187137,-0.2520338011345547,0.17706553496733568,5.17306835829813,0.5827390481151402,0.7054454952396267,5.934391138506564,1.2311121076539364,4.411745578089695,-0.06563401142365588,0.36291584894986684,17.781789827307414
4.5,0.9249977956683604,-0.2500128045681336,0.17431481785295025,5.394526309077646,0.6885797255744537,0.7497118789814606,6.126411542032455,1.370007642365866,4.662641076122836,0.007151808783041558,0.37022463270615247,17.73482996464644
4.75,0.9018527807048005,-0.24814099753555613,0.172799677026137,5.606365792016012,0.8004143858809301,0.7932905834446982,6.307869824574707,1.5130798700345323,4.904861759457316,0.08774890172732785,0.3797236067613556,17.691623486324193
5.0,0.8792156762191318,-0.24645083483245286,0.17220160211027627,5.808739513662443,0.9175762454264124,0.8364905027012324,6.478811546734788,1.6598723255011318,5.138667480590098,0.17528016535169322,0.3904925059237603,17.652187427741328
5.25,0.8569011860901864,-0.24493838293254486,0.17226798087706105,6.0017588447375685,1.039450879938699,0.8795409032288014,6.6392637655083355,1.809897163590621,5.3642539239668015,0.269004596286777,0.40210536056231555,17.61666549263948
5.5,0.8347821706521146,-0.24357126142575403,0.172783529752446,6.185506492137791,1.165462607407443,0.9226078984480667,6.789249742772007,1.9626414376040495,5.581763241503575,0.3682837772108368,0.41407911515396945,17.585231793251985
5.75,0.8127832670978439,-0.2422988502993127,0.1735632309928211,6.3600474807712635,1.2950666496912369,0.9658037808861781,6.928803426008647,2.1175729869052002,5.79129153553388,0.4725603124772736,0.425982975528028,17.5577445833373
6.0,0.7908754922015321,-0.2410610857783608,0.17444966968847356,6.525439394576815,1.4277442687756192,1.0091945886343834,7.05798199136417,2.2741474721054393,5.99289679778946,0.5813410654457992,0.43743649875810814,17.534216314309663
