time,u,v,r,δ,n_p,x_est,y_est,ψ_est,U_W,ψ_W,x1,y1,x2,y2
0.0,1.441442,0.0,0.0,0.3490658503988659,21.21824,0.0,0.0,0.0,8.0,0.0,1.0,0.0,-1.0,1.2246467991473532e-16
0.25,1.436693000894785,-0.01904534486331526,0.03835547372208969,0.3490658503988659,21.21824,0.35920239313383073,-0.001317105061477447,0.009588868430522422,8.0,0.0,1.3591564202871966,0.008271616426068695,-0.640751634019535,-0.010905826549023579
0.5,1.4316847304490776,-0.04015855197635103,0.06797062092284012,0.3490658503988659,21.21824,0.717263971130868,-0.001840226356578576,0.026581523661232453,8.0,0.0,1.7169107032324527,0.02473816709792915,-0.2823827609707167,-0.02841861981108607
0.75,1.4255271147324642,-0.06221826009741183,0.09148903146440564,0.3490658503988659,21.21824000000001,1.0739789599031293,0.00024146902069353826,0.04945378152733386,8.0,0.0,2.0727563708513688,0.04967509502093337,0.07520154895488984,-0.049192156979546015
1.0,1.4176476956752595,-0.08439685795554713,0.11059514104374234,0.34906585039886584,21.21824,1.4289631428040437,0.006503941220552728,0.07710256678826945,8.0,0.0,2.425992212139444,0.0835301374149995,0.4319340734686433,-0.07052225497389412
1.25,1.40770620063342,-0.10608243872009632,0.1263807859160947,0.3490658503988658,21.21824,1.781689754865744,0.018318194799856254,0.10869776326729312,8.0,0.0,2.7757879673323917,0.12680203677927548,0.7875915423990962,-0.09016564717956291
1.5,1.3955385083132232,-0.12682441514088952,0.1395625931153763,0.34906585039886595,21.218240000000005,2.1315209708377703,0.03686220624132769,0.1435884115461372,8.0,0.0,3.1212298546522326,0.17995771734747962,1.1418120870233077,-0.10623330486482394
1.75,1.3811174522671592,-0.14629687932470542,0.1506193238605008,0.3490658503988659,21.218240000000005,2.4777373785157444,0.06312455896583097,0.1812432425112624,8.0,0.0,3.4613577338448884,0.243377150021185,1.4941170231866003,-0.117128032089523
2.0,1.3645227851120747,-0.16427402687499043,0.15988127986941703,0.34906585039886595,21.21824000000001,2.8195663624141143,0.09790558761999169,0.22121356247861665,8.0,0.0,3.7951982579088965,0.3173193622405891,1.843934466919332,-0.12150818700060559
2.25,1.3459158997439546,-0.18061297921982247,0.16758870160478842,0.349065850398866,21.218240000000012,3.1562093168843157,0.14181956370920346,0.26311073787981376,8.0,0.0,4.121794910373228,0.40190505282127476,2.1906237233954036,-0.11826592540286779
2.5,1.3255172063811616,-0.1952406097146697,0.17392911614653794,0.349065850398866,21.218240000000005,3.4868670340177994,0.1952999022081821,0.30659301691644825,8.0,0.0,4.44023440439002,0.4971121900785662,2.533499663645578,-0.10651238566220178
2.75,1.3035855398242955,-0.20814219089398708,0.17906019761282857,0.3490658503988659,21.218240000000012,3.8107624023128137,0.2586082140744663,0.3513580663196554,8.0,0.0,4.749668571076808,0.602781435369961,2.871856233548819,-0.08556500722102828
3.0,1.2803997872586275,-0.21935076231944986,0.18312269122079267,0.349065850398866,21.21824000000001,4.127159630633997,0.33184715296322576,0.39713873912485353,8.0,0.0,5.049331080308613,0.7186285090353856,3.2049881809593823,-0.0549342031089341
3.25,1.256243189008984,-0.22893684705836018,0.18624684537463687,0.349065850398866,21.218240000000005,4.435379464117319,0.41497641143786623,0.44370045046851275,8.0,0.0,5.338548768515246,0.8442609413167852,3.532210159719392,-0.014308118441052842
